合同编号,专区码, 原专区名称,所属, 专区名称,客户类型,分公司,省份,地市,所属平台,项目经理,远程交付,商务,开发,确认接入时间,接入时间至今,专区上线自检表反馈时间,上线时间至今,专区状态,25年收益情况,26年收益情况,总收益情况,备注,专区地址,近期交易,今日开标,专区成本,上线前成本,预警等级,所属省份,收款方式,总成本,成本率
C2025040047,DQ_JLGXQ,吉林高新区阳光招采电子交易平台,大企业,,企业,交易云服务华北分公司,吉林省,吉林市,新点电子交易平台（7.0）,无,夏焕焕,张乘,黄安、沈智珩,2025-04-18,11月13天,2025-05-09,10月22天,上线有量,0.0,0.0,1700.0,线下收取，未结算,https://jlgxq.etrading.cn/,5,2.0,27578.85,2364.9,长期无收益预警(红色);成熟期收益不达标(橙色),吉林,,29943.75,1761.3970588235293
C2023050049,DQ_HenXinLN,恒信专区-北部分专区,,,企业,交易云服务华东分公司,辽宁省,大连,江苏限额以下平台（7.0）,,袁振州,李孟辉,张渝、陈章,2023-04-27,2年11月4天,2023-05-29,2年10月2天,上线有量,0.0,0.0,1950.0,https://hengxinbeibu.etrading.cn/,https://hengxinbeibu.etrading.cn/,0.0,0.0,0.0,0.0,成熟期收益不达标(橙色),辽宁,,0.0,0.0
C2024080022,DQ_BECZC,博e采招采平台,,,企业,沈阳分公司,辽宁省,大连市,江苏限额以下平台（7.0）,姜超,袁振州,徐中华,,2024-08-05,1年7月26天,2024-08-16,1年7月15天,上线无量,0.0,0.0,0.0,https://boeczc.etrading.cn/,https://boeczc.etrading.cn/,0.0,0.0,1709.82,0.0,长期无收益预警(红色);成熟期收益不达标(橙色),辽宁,,1709.82,0.0
C2024090037,DQ_benxi,本溪阳光数字化招标采购平台,,,政府,沈阳分公司,辽宁省,,江苏限额以下平台（7.0）,姜超,袁振州,马学思,余春海,2024-10-08,1年5月23天,2024-10-25,1年5月6天,上线无量,0.0,0.0,0.0,https://bxygszhzbcg.etrading.cn/,https://bxygszhzbcg.etrading.cn/,0.0,0.0,44794.02,0.0,长期无收益预警(红色);成熟期收益不达标(橙色),辽宁,,44794.02,0.0
C2025010021,DQ_ShengTie,沈铁专区,大企业,,企业, 沈阳分公司,辽宁省,沈阳市,新点电子交易平台（7.0）,孙立伟,/, 刘晓光,,2025-01-17,1年2月14天,2025-02-14,1年1月17天,上线有量,73160.0,12300.0,85460.0,https://shentie.etrading.cn/,https://shentie.etrading.cn/,0.0,0.0,39248.16,14898.01,运营成本过高(红色),辽宁,,54146.170000000006,63.35849520243389
C2025050045,DQ_JZZCT,锦州国企招标采购交易平台,,,企业,交易云服务华北分公司,辽宁省,锦州市,新点电子交易平台（7.0）,罗聪、李明轩,谭慧敏,张玉龙,黄安、沈智珩,2025-05-19,10月12天,,,上线无量,0.0,0.0,0.0,,,,,4545.19,0.0,正常,辽宁,,4545.19,0.0
C2026010014,DQ_LNGCZXZQ,辽宁工程咨询招投标交易平台,大企业,辽宁省咨询产业集团专区,企业,交易云服务华北分公司,辽宁省,沈阳市,企业数字化采购平台（8.0）,孙立伟,,拱占文 ,钟源,2026-01-08,2月23天,,,推进中,0.0,0.0,0.0,https://lngczxzq.etrading.cn/,https://lngczxzq.etrading.cn/,0.0,0.0,9811.58,0.0,正常,辽宁,,9811.58,0.0
C2022070019,DQ_NeiMengGu,内蒙古专区,,,企业,交易云服务华北分公司,内蒙古蒙古族自治区,呼和浩特市,新点电子交易平台（7.0）,,夏焕焕,梁磊,黄安、沈智珩,2022-01-05,4年2月26天,2022-03-11,4年20天,上线有量,16795.0,600.0,81580.0,,https://nmg.etrading.cn/,0,0.0,5759.45,0.0,长期无收益预警(红色);成熟期收益不达标(橙色),内蒙古,,5759.45,7.059879872517774
C2023110032,DQ_ZCQLC,内蒙古招投标电子交易平台,,中采全流程电子交易平台,企业,交易云服务华北分公司,内蒙古蒙古族自治区,通辽市,新点电子交易平台（7.0）,,夏焕焕,梁磊,黄安、沈智珩,2022-09-30,3年6月1天,2022-11-19,3年4月12天,上线有量,,,3300.0,,http://nmgzc.etrading.cn/,0,0.0,913.15,0.0,长期无收益预警(红色);成熟期收益不达标(橙色),内蒙古,,913.15,27.67121212121212
C2024070027,DQ_Eerduosixin,鄂尔多斯专区,,,政府,交易云服务华北分公司,内蒙古蒙古族自治区,鄂尔多斯,新点电子交易平台（7.0）,,夏焕焕,梁磊,黄安,2024-05-31,1年10月0天,2024-07-04,1年8月27天,上线有量,,,2520.0,,https://eeds.etrading.cn/,0,0.0,9644.25,0.0,长期无收益预警(红色);成熟期收益不达标(橙色),内蒙古,,9644.25,382.7083333333333
