监控指标内容:\n    序号    指标大类        指标项                     监控规则 预警等级             统计口径
0    4  上线后项目数     成长期无项目    上线满1个月且≤3个月，累计有效项目数=0   黄色  剔除测试、作废、未成交无效项目
1    5  上线后项目数    成长期项目不足   上线满3个月且≤6个月，累计有效项目数<30   橙色          项目数少于30
2    6  上线后项目数    成熟期项目不足     上线满6个月，累计有效项目数<60且>0   橙色    项目数为0归入僵尸专区预警
3    7  上线后项目数     僵尸专区预警         上线超6个月，累计有效项目数=0   红色         触发下线评估整改
4    8   上线后收益     成长期无收益           上线满1个月，累计净收益=0   黄色           我司实得收益
5    9   上线后收益    成长期收益低效      上线满3个月，累计净收益<10000元   橙色           我司实得收益
6   10   上线后收益   成熟期收益不达标      上线满6个月，累计净收益<20000元   橙色           我司实得收益
7   11   上线后收益    长期无收益预警           上线超6个月，累计净收益=0   红色         触发成本复盘约谈
8   12    成本管控    上线前投入超标      未上线专区，累计投入超基线32000元   黄色     实际人工成本（差旅另算）
9   13    成本管控  上线前投入严重超标  未上线专区，累计投入超基线10%即35200元   橙色     实际人工成本（差旅另算）
10  14    成本管控     运营成本过高        已上线专区，累计投入超总收益30%   红色     实际人工成本（差旅另算）
