有收益数据的平台预览（前20条）:

                   专区名称  e交易26年3月_实得收益  e交易26年总收益_截至3月25日  e交易25年总收益  e交易总收益_截至2026年3月25日  e交易总项目数
0                  华厦专区            0.0           260845.0     4800.0             265645.0       85
2                  六安专区        45845.0          2818195.0   866130.0            3684325.0       84
3                  东海专区            0.0          1489537.5   408950.0            1898487.5       32
4              宣城交易公司专区            0.0          1204784.0   210518.0            1415302.0      623
5                  湖滨新区        17920.0           449145.0   133350.0             582495.0       15
6                  通用专区            0.0             1800.0        0.0               1800.0        1
7                淮安经发集团         7665.0           528625.0   135405.0             664030.0       59
8                  宿豫专区        37070.0          4887015.0  2073460.0            6960475.0       56
9                  胜捷专区            0.0            66115.0      450.0              66565.0       36
10                 甪直专区            0.0            29565.0        0.0              29565.0       35
11                 亳州专区            0.0            97320.0    34545.0             131865.0        3
12                城建校专区         5445.0           248995.0   108300.0             357295.0      199
13             淮安交投限额平台            0.0            53600.0    50600.0             104200.0       71
14  涟水县投资控股集团有限公司集中交易专区          150.0            93900.0    76700.0             170600.0      377
16               新北罗溪专区            0.0           539115.0   216780.0             755895.0       52
17                常州经开区        81000.0          3221575.0   569910.0            3791485.0       49
20                 兴焱专区            0.0            21940.0        0.0              21940.0       51
21                 浏河专区          500.0           540815.0    34205.0             575020.0       14
22                连云港专区            0.0             1600.0     1000.0               2600.0        1
23                 嘉铭专区         1400.0            94745.0    36715.0             131460.0        1
